query,nct_id
already having Celiac Disease_page_rank.csv,NCT02389062
already having Celiac Disease_page_rank.csv,NCT02344758
already having Celiac Disease_page_rank.csv,NCT02072590
already having Celiac Disease_page_rank.csv,NCT03664531
already having Celiac Disease_page_rank.csv,NCT00167700
antiretroviral therapy first time_pageRank.csv,NCT00400738
antiretroviral therapy first time_pageRank.csv,NCT01199939
antiretroviral therapy first time_pageRank.csv,NCT02063880
antiretroviral therapy first time_pageRank.csv,NCT03407105
antiretroviral therapy first time_pageRank.csv,NCT00381303
antiretroviral therapy first time_pageRank.csv,NCT00140751
antiretroviral therapy first time_pageRank.csv,NCT00159224
antiretroviral therapy first time_pageRank.csv,NCT01904994
antiretroviral therapy first time_pageRank.csv,NCT00000877
antiretroviral therapy first time_pageRank.csv,NCT01075152
antiretroviral therapy first time_pageRank.csv,NCT00978237
antiretroviral therapy first time_pageRank.csv,NCT01404312
antiretroviral therapy first time_pageRank.csv,NCT00811954
antiretroviral therapy first time_pageRank.csv,NCT02379949
antiretroviral therapy first time_pageRank.csv,NCT00495326
antiretroviral therapy first time_pageRank.csv,NCT00055120
antiretroviral therapy first time_pageRank.csv,NCT04246983
antiretroviral therapy first time_pageRank.csv,NCT00988780
antiretroviral therapy first time_pageRank.csv,NCT01300481
antiretroviral therapy first time_pageRank.csv,NCT02850276
antiretroviral therapy first time_pageRank.csv,NCT00495651
antiretroviral therapy first time_pageRank.csv,NCT01380080
antiretroviral therapy first time_pageRank.csv,NCT01259219
antiretroviral therapy first time_pageRank.csv,NCT00433030
antiretroviral therapy first time_pageRank.csv,NCT00004978
antiretroviral therapy first time_pageRank.csv,NCT00027352
antiretroviral therapy first time_pageRank.csv,NCT02514356
antiretroviral therapy first time_pageRank.csv,NCT01151189
antiretroviral therapy first time_pageRank.csv,NCT00976404
antiretroviral therapy first time_pageRank.csv,NCT02147405
constipation safe treatments_page_rank.csv,NCT01691742
constipation safe treatments_page_rank.csv,NCT01592734
constipation safe treatments_page_rank.csv,NCT01505777
constipation safe treatments_page_rank.csv,NCT00508482
constipation safe treatments_page_rank.csv,NCT01670669
constipation safe treatments_page_rank.csv,NCT01251822
constipation safe treatments_page_rank.csv,NCT00596596
constipation safe treatments_page_rank.csv,NCT00488137
constipation safe treatments_page_rank.csv,NCT01707667
constipation safe treatments_page_rank.csv,NCT01885104
constipation safe treatments_page_rank.csv,NCT01330381
constipation safe treatments_page_rank.csv,NCT01993940
dietary approaches for obesity treatment_page_rank.csv,NCT01859013
dietary approaches for obesity treatment_page_rank.csv,NCT03449641
dietary approaches for obesity treatment_page_rank.csv,NCT02578199
dietary approaches for obesity treatment_page_rank.csv,NCT03740347
dietary approaches for obesity treatment_page_rank.csv,NCT01405976
dietary approaches for obesity treatment_page_rank.csv,NCT00546728
dietary approaches for obesity treatment_page_rank.csv,NCT01977326
dietary approaches for obesity treatment_page_rank.csv,NCT03146026
dietary approaches for obesity treatment_page_rank.csv,NCT00562263
dietary approaches for obesity treatment_page_rank.csv,NCT00395135
dietary approaches for obesity treatment_page_rank.csv,NCT02169778
dietary approaches for obesity treatment_page_rank.csv,NCT01116856
dietary approaches for obesity treatment_page_rank.csv,NCT00063635
dietary approaches for obesity treatment_page_rank.csv,NCT00414167
dietary approaches for obesity treatment_page_rank.csv,NCT01809990
dietary approaches for obesity treatment_page_rank.csv,NCT00783315
dietary approaches for obesity treatment_page_rank.csv,NCT03821818
dietary approaches for obesity treatment_page_rank.csv,NCT03491930
dietary approaches for obesity treatment_page_rank.csv,NCT02024061
dietary approaches for obesity treatment_page_rank.csv,NCT01010789
dietary approaches for obesity treatment_page_rank.csv,NCT01718483
dietary approaches for obesity treatment_page_rank.csv,NCT00961740
dietary approaches for obesity treatment_page_rank.csv,NCT01231256
dietary approaches for obesity treatment_page_rank.csv,NCT01718509
dietary approaches for obesity treatment_page_rank.csv,NCT01237197
dietary approaches for obesity treatment_page_rank.csv,NCT01771042
dietary approaches for obesity treatment_page_rank.csv,NCT00830440
dietary approaches for obesity treatment_page_rank.csv,NCT03128112
dietary approaches for obesity treatment_page_rank.csv,NCT00928473
dietary approaches for obesity treatment_page_rank.csv,NCT00603291
Dietary Therapy Epilepsies_page_rank.csv,NCT01261325
Dietary Therapy Epilepsies_page_rank.csv,NCT00235755
Dietary Therapy Epilepsies_page_rank.csv,NCT01721213
Dietary Therapy Epilepsies_page_rank.csv,NCT00142805
Dietary Therapy Epilepsies_page_rank.csv,NCT02098941
Dietary Therapy Epilepsies_page_rank.csv,NCT00836836
Dietary Therapy Epilepsies_page_rank.csv,NCT00761774
Dietary Therapy Epilepsies_page_rank.csv,NCT02100501
Dietary Therapy Epilepsies_page_rank.csv,NCT02205931
Dietary Therapy Epilepsies_page_rank.csv,NCT01118962
Dietary Therapy Epilepsies_page_rank.csv,NCT01538355
Early Parkinson disease treatment_page_rank.csv,NCT01971242
Early Parkinson disease treatment_page_rank.csv,NCT00833690
Early Parkinson disease treatment_page_rank.csv,NCT01785628
Early Parkinson disease treatment_page_rank.csv,NCT00866502
Early Parkinson disease treatment_page_rank.csv,NCT01092936
Early Parkinson disease treatment_page_rank.csv,NCT00914095
Early Parkinson disease treatment_page_rank.csv,NCT02583672
Early Parkinson disease treatment_page_rank.csv,NCT00464464
Early Parkinson disease treatment_page_rank.csv,NCT02034357
Early Parkinson disease treatment_page_rank.csv,NCT00782340
Early Parkinson disease treatment_page_rank.csv,NCT01313819
Early Parkinson disease treatment_page_rank.csv,NCT02879136
Early Parkinson disease treatment_page_rank.csv,NCT00449865
Early Parkinson disease treatment_page_rank.csv,NCT00605163
Early Parkinson disease treatment_page_rank.csv,NCT00633880
Early Parkinson disease treatment_page_rank.csv,NCT00724594
Early Parkinson disease treatment_page_rank.csv,NCT00643890
Early Parkinson disease treatment_page_rank.csv,NCT03602014
Early Parkinson disease treatment_page_rank.csv,NCT02111122
Early Parkinson disease treatment_page_rank.csv,NCT02324426
Early Parkinson disease treatment_page_rank.csv,NCT03331822
Early Parkinson disease treatment_page_rank.csv,NCT01280123
haemorrhage cure_page_rank.csv,NCT02753816
haemorrhage cure_page_rank.csv,NCT02577484
haemorrhage cure_page_rank.csv,NCT03784794
haemorrhage cure_page_rank.csv,NCT00803101
haemorrhage cure_page_rank.csv,NCT01659619
haemorrhage cure_page_rank.csv,NCT03795649
haemorrhage cure_page_rank.csv,NCT01456260
haemorrhage cure_page_rank.csv,NCT01169454
haemorrhage cure_page_rank.csv,NCT02686320
haemorrhage cure_page_rank.csv,NCT02270242
haemorrhage cure_page_rank.csv,NCT01993888
haemorrhage cure_page_rank.csv,NCT01041950
haemorrhage cure_page_rank.csv,NCT02442830
haemorrhage cure_page_rank.csv,NCT02311985
haemorrhage cure_page_rank.csv,NCT00809393
haemorrhage cure_page_rank.csv,NCT01382134
haemorrhage cure_page_rank.csv,NCT00872469
haemorrhage cure_page_rank.csv,NCT01452750
haemorrhage cure_page_rank.csv,NCT01253811
haemorrhage cure_page_rank.csv,NCT03846973
haemorrhage cure_page_rank.csv,NCT01282996
haemorrhage cure_page_rank.csv,NCT02104947
haemorrhage cure_page_rank.csv,NCT02020525
haemorrhage cure_page_rank.csv,NCT02446678
haemorrhage cure_page_rank.csv,NCT00908037
haemorrhage cure_page_rank.csv,NCT03069859
haemorrhage cure_page_rank.csv,NCT00908245
haemorrhage cure_page_rank.csv,NCT01326949
haemorrhage cure_page_rank.csv,NCT01166243
haemorrhage cure_page_rank.csv,NCT03856164
haemorrhage cure_page_rank.csv,NCT02303964
HIV infection seronegativity_page_rank.csv,NCT00164736
HIV infection seronegativity_page_rank.csv,NCT01772823
HIV infection seronegativity_page_rank.csv,NCT01034917
HIV infection seronegativity_page_rank.csv,NCT00321061
HIV infection seronegativity_page_rank.csv,NCT03225118
HIV infection seronegativity_page_rank.csv,NCT01909414
HIV infection seronegativity_page_rank.csv,NCT00242957
HIV infection seronegativity_page_rank.csv,NCT00458393
HIV infection seronegativity_page_rank.csv,NCT00903682
HIV infection seronegativity_page_rank.csv,NCT00708110
HIV infection seronegativity_page_rank.csv,NCT03831945
HIV infection seronegativity_page_rank.csv,NCT02463227
HIV infection seronegativity_page_rank.csv,NCT03571204
HIV infection seronegativity_page_rank.csv,NCT00004855
HIV infection seronegativity_page_rank.csv,NCT02411539
HIV infection seronegativity_page_rank.csv,NCT00414518
HIV infection seronegativity_page_rank.csv,NCT00709605
HIV infection seronegativity_page_rank.csv,NCT00001137
HIV infection seronegativity_page_rank.csv,NCT00870363
HIV infection seronegativity_page_rank.csv,NCT02415595
HIV infection seronegativity_page_rank.csv,NCT00038480
HIV infection seronegativity_page_rank.csv,NCT01088295
HIV infection seronegativity_page_rank.csv,NCT01571466
HIV infection seronegativity_page_rank.csv,NCT00307151
HIV infection seronegativity_page_rank.csv,NCT00997607
HIV infection seronegativity_page_rank.csv,NCT00000903
HIV infection seronegativity_page_rank.csv,NCT01751646
HIV infection seronegativity_page_rank.csv,NCT02022657
HIV infection seronegativity_page_rank.csv,NCT01683656
HIV infection seronegativity_page_rank.csv,NCT01923610
HIV infection seronegativity_page_rank.csv,NCT02380391
HIV infection seronegativity_page_rank.csv,NCT01098045
HIV infection seronegativity_page_rank.csv,NCT00867048
HIV infection Treatment naive_page_rank.csv,NCT00708110
HIV infection Treatment naive_page_rank.csv,NCT03571204
HIV infection Treatment naive_page_rank.csv,NCT03831945
HIV infection Treatment naive_page_rank.csv,NCT02463227
HIV infection Treatment naive_page_rank.csv,NCT00307151
HIV infection Treatment naive_page_rank.csv,NCT01683656
HIV infection Treatment naive_page_rank.csv,NCT02411539
HIV infection Treatment naive_page_rank.csv,NCT01034917
HIV infection Treatment naive_page_rank.csv,NCT03225118
HIV infection Treatment naive_page_rank.csv,NCT02415595
HIV infection Treatment naive_page_rank.csv,NCT00038480
HIV infection Treatment naive_page_rank.csv,NCT00903682
HIV infection Treatment naive_page_rank.csv,NCT00867048
Hypercholesterolemia safe treatments_page_rank.csv,NCT03511248
Hypercholesterolemia safe treatments_page_rank.csv,NCT01773512
Hypercholesterolemia safe treatments_page_rank.csv,NCT02230241
Hypercholesterolemia safe treatments_page_rank.csv,NCT00242944
Hypercholesterolemia safe treatments_page_rank.csv,NCT01644188
Hypercholesterolemia safe treatments_page_rank.csv,NCT01187056
Hypercholesterolemia safe treatments_page_rank.csv,NCT03183830
hypertension safe treatments_page_rank.csv,NCT00922311
hypertension safe treatments_page_rank.csv,NCT01588795
hypertension safe treatments_page_rank.csv,NCT00159887
hypertension safe treatments_page_rank.csv,NCT01390727
hypertension safe treatments_page_rank.csv,NCT02272283
hypertension safe treatments_page_rank.csv,NCT01746485
hypertension safe treatments_page_rank.csv,NCT00563901
hypertension safe treatments_page_rank.csv,NCT00638794
hypertension safe treatments_page_rank.csv,NCT00000542
hypertension safe treatments_page_rank.csv,NCT01743001
hypertension safe treatments_page_rank.csv,NCT01808313
hypertension safe treatments_page_rank.csv,NCT01178073
hypertension safe treatments_page_rank.csv,NCT00483808
hypertension safe treatments_page_rank.csv,NCT01581515
hypertension safe treatments_page_rank.csv,NCT00389220
hypertension safe treatments_page_rank.csv,NCT00425997
hypertension safe treatments_page_rank.csv,NCT01570777
hypertension safe treatments_page_rank.csv,NCT00870493
hypertension safe treatments_page_rank.csv,NCT00887978
hypertension safe treatments_page_rank.csv,NCT00746902
hypertension safe treatments_page_rank.csv,NCT01505010
hypertension safe treatments_page_rank.csv,NCT01368614
hypertension safe treatments_page_rank.csv,NCT00554619
hypertension safe treatments_page_rank.csv,NCT01113047
hypertension safe treatments_page_rank.csv,NCT01911897
hypertension safe treatments_page_rank.csv,NCT02900729
hypertension safe treatments_page_rank.csv,NCT01106014
hypertension safe treatments_page_rank.csv,NCT00280540
low back pain therapy workout_pageRank.csv,NCT03221439
low back pain therapy workout_pageRank.csv,NCT01615510
low back pain therapy workout_pageRank.csv,NCT01850875
low back pain therapy workout_pageRank.csv,NCT00600197
low back pain therapy workout_pageRank.csv,NCT03831867
low back pain therapy workout_pageRank.csv,NCT02323412
low back pain therapy workout_pageRank.csv,NCT00371384
low back pain therapy workout_pageRank.csv,NCT04082065
low back pain therapy workout_pageRank.csv,NCT02721914
low back pain therapy workout_pageRank.csv,NCT03962842
low back pain therapy workout_pageRank.csv,NCT01357343
low back pain therapy workout_pageRank.csv,NCT00439764
low back pain therapy workout_pageRank.csv,NCT00566930
low back pain therapy workout_pageRank.csv,NCT01330238
low back pain therapy workout_pageRank.csv,NCT00713843
low back pain therapy workout_pageRank.csv,NCT01719276
low back pain therapy workout_pageRank.csv,NCT01312233
low back pain therapy workout_pageRank.csv,NCT01345409
malnutrition in young children_page_rank.csv,NCT02528279
malnutrition in young children_page_rank.csv,NCT01088958
malnutrition in young children_page_rank.csv,NCT01612429
malnutrition in young children_page_rank.csv,NCT01224535
malnutrition in young children_page_rank.csv,NCT01239693
malnutrition in young children_page_rank.csv,NCT00490022
malnutrition in young children_page_rank.csv,NCT00717730
malnutrition in young children_page_rank.csv,NCT03647150
malnutrition in young children_page_rank.csv,NCT00970866
malnutrition in young children_page_rank.csv,NCT00705445
malnutrition in young children_page_rank.csv,NCT00945698
malnutrition in young children_page_rank.csv,NCT00197548
malnutrition in young children_page_rank.csv,NCT03678233
malnutrition in young children_page_rank.csv,NCT02460848
malnutrition in young children_page_rank.csv,NCT01404195
malnutrition in young children_page_rank.csv,NCT02760095
malnutrition in young children_page_rank.csv,NCT04029532
malnutrition in young children_page_rank.csv,NCT02351661
malnutrition in young children_page_rank.csv,NCT02847962
malnutrition in young children_page_rank.csv,NCT01813851
malnutrition in young children_page_rank.csv,NCT00473031
malnutrition in young children_page_rank.csv,NCT02148679
malnutrition in young children_page_rank.csv,NCT01863394
malnutrition in young children_page_rank.csv,NCT03071666
malnutrition in young children_page_rank.csv,NCT02992639
malnutrition in young children_page_rank.csv,NCT00524446
managing constipation in children_pageRank.csv,NCT02371499
managing constipation in children_pageRank.csv,NCT01543178
managing constipation in children_pageRank.csv,NCT03060512
managing constipation in children_pageRank.csv,NCT03148002
managing constipation in children_pageRank.csv,NCT00903747
managing constipation in children_pageRank.csv,NCT02122471
managing constipation in children_pageRank.csv,NCT01670669
managing constipation in children_pageRank.csv,NCT03639142
managing constipation in children_pageRank.csv,NCT01774877
managing constipation in children_pageRank.csv,NCT03917953
managing constipation in children_pageRank.csv,NCT03941925
managing constipation in children_pageRank.csv,NCT01069783
managing constipation in children_pageRank.csv,NCT02574065
managing constipation in children_pageRank.csv,NCT03434249
managing constipation in children_pageRank.csv,NCT01707667
managing constipation in children_pageRank.csv,NCT02316899
managing constipation in children_pageRank.csv,NCT00513656
managing constipation in children_pageRank.csv,NCT03117322
managing constipation in children_pageRank.csv,NCT01505777
managing constipation in children_pageRank.csv,NCT03391635
managing constipation in children_pageRank.csv,NCT04263896
managing constipation in children_pageRank.csv,NCT00269412
managing constipation in children_pageRank.csv,NCT00401362
Nonvalvular atrial fibrillation_page_rank.csv,NCT01151137
Nonvalvular atrial fibrillation_page_rank.csv,NCT01587404
Nonvalvular atrial fibrillation_page_rank.csv,NCT00251251
Nonvalvular atrial fibrillation_page_rank.csv,NCT00597220
Nonvalvular atrial fibrillation_page_rank.csv,NCT03943966
Nonvalvular atrial fibrillation_page_rank.csv,NCT02348723
Nonvalvular atrial fibrillation_page_rank.csv,NCT01917955
Nonvalvular atrial fibrillation_page_rank.csv,NCT01962545
Nonvalvular atrial fibrillation_page_rank.csv,NCT00170326
Nonvalvular atrial fibrillation_page_rank.csv,NCT02313909
Nonvalvular atrial fibrillation_page_rank.csv,NCT00059306
Nonvalvular atrial fibrillation_page_rank.csv,NCT01185392
Nonvalvular atrial fibrillation_page_rank.csv,NCT01812200
Nonvalvular atrial fibrillation_page_rank.csv,NCT00643188
Nonvalvular atrial fibrillation_page_rank.csv,NCT01863576
Nonvalvular atrial fibrillation_page_rank.csv,NCT00465218
Nonvalvular atrial fibrillation_page_rank.csv,NCT03091972
Nonvalvular atrial fibrillation_page_rank.csv,NCT00530894
Nonvalvular atrial fibrillation_page_rank.csv,NCT02918396
Nonvalvular atrial fibrillation_page_rank.csv,NCT01471795
Nonvalvular atrial fibrillation_page_rank.csv,NCT00047437
Nonvalvular atrial fibrillation_page_rank.csv,NCT01121029
Nonvalvular atrial fibrillation_page_rank.csv,NCT00067093
Nonvalvular atrial fibrillation_page_rank.csv,NCT04038944
Nonvalvular atrial fibrillation_page_rank.csv,NCT04037397
Nonvalvular atrial fibrillation_page_rank.csv,NCT01558765
Nonvalvular atrial fibrillation_page_rank.csv,NCT02217657
Nonvalvular atrial fibrillation_page_rank.csv,NCT02251665
Nonvalvular atrial fibrillation_page_rank.csv,NCT02122484
Nonvalvular atrial fibrillation_page_rank.csv,NCT02758002
Nonvalvular atrial fibrillation_page_rank.csv,NCT02238392
Nonvalvular atrial fibrillation_page_rank.csv,NCT03263702
Nonvalvular atrial fibrillation_page_rank.csv,NCT03004859
Nonvalvular atrial fibrillation_page_rank.csv,NCT01727297
Nonvalvular atrial fibrillation_page_rank.csv,NCT01522651
Nonvalvular atrial fibrillation_page_rank.csv,NCT03377751
Nonvalvular atrial fibrillation_page_rank.csv,NCT02426944
Nonvalvular atrial fibrillation_page_rank.csv,NCT03432663
Nonvalvular atrial fibrillation_page_rank.csv,NCT03334630
Nonvalvular atrial fibrillation_page_rank.csv,NCT00747838
Nonvalvular atrial fibrillation_page_rank.csv,NCT00722319
Nonvalvular atrial fibrillation_page_rank.csv,NCT04216667
Nonvalvular atrial fibrillation_page_rank.csv,NCT02274298
Nonvalvular atrial fibrillation_page_rank.csv,NCT02169037
Nonvalvular atrial fibrillation_page_rank.csv,NCT00986154
Nonvalvular atrial fibrillation_page_rank.csv,NCT01977859
Nonvalvular atrial fibrillation_page_rank.csv,NCT01014741
Nonvalvular atrial fibrillation_page_rank.csv,NCT02623517
Nonvalvular atrial fibrillation_page_rank.csv,NCT01429948
Nonvalvular atrial fibrillation_page_rank.csv,NCT00259428
Nonvalvular atrial fibrillation_page_rank.csv,NCT03124017
Nonvalvular atrial fibrillation_page_rank.csv,NCT03008811
Nonvalvular atrial fibrillation_page_rank.csv,NCT03062241
Nonvalvular atrial fibrillation_page_rank.csv,NCT01709682
Nonvalvular atrial fibrillation_page_rank.csv,NCT03753139
Nonvalvular atrial fibrillation_page_rank.csv,NCT00121472
Nonvalvular atrial fibrillation_page_rank.csv,NCT01095770
Nonvalvular atrial fibrillation_page_rank.csv,NCT02051621
Nonvalvular atrial fibrillation_page_rank.csv,NCT01061931
Nonvalvular atrial fibrillation_page_rank.csv,NCT02497248
Nonvalvular atrial fibrillation_page_rank.csv,NCT03005366
Nonvalvular atrial fibrillation_page_rank.csv,NCT01411371
Nonvalvular atrial fibrillation_page_rank.csv,NCT00121485
Nonvalvular atrial fibrillation_page_rank.csv,NCT01058980
Nonvalvular atrial fibrillation_page_rank.csv,NCT01563848
Nonvalvular atrial fibrillation_page_rank.csv,NCT02606890
Nonvalvular atrial fibrillation_page_rank.csv,NCT03272620
Nonvalvular atrial fibrillation_page_rank.csv,NCT03724383
Nonvalvular atrial fibrillation_page_rank.csv,NCT02533843
Nonvalvular atrial fibrillation_page_rank.csv,NCT04218604
Nonvalvular atrial fibrillation_page_rank.csv,NCT00438113
Nonvalvular atrial fibrillation_page_rank.csv,NCT00774566
Nonvalvular atrial fibrillation_page_rank.csv,NCT00098137
Nonvalvular atrial fibrillation_page_rank.csv,NCT03088072
Nonvalvular atrial fibrillation_page_rank.csv,NCT01090362
Nonvalvular atrial fibrillation_page_rank.csv,NCT02944019
Nonvalvular atrial fibrillation_page_rank.csv,NCT01794416
Nonvalvular atrial fibrillation_page_rank.csv,NCT02414035
Nonvalvular atrial fibrillation_page_rank.csv,NCT00000560
Nonvalvular atrial fibrillation_page_rank.csv,NCT01573143
Nonvalvular atrial fibrillation_page_rank.csv,NCT04218786
Nonvalvular atrial fibrillation_page_rank.csv,NCT01362738
Nonvalvular atrial fibrillation_page_rank.csv,NCT01360008
Nonvalvular atrial fibrillation_page_rank.csv,NCT00315133
Nonvalvular atrial fibrillation_page_rank.csv,NCT00062803
Nonvalvular atrial fibrillation_page_rank.csv,NCT04055285
Nonvalvular atrial fibrillation_page_rank.csv,NCT00791648
Nonvalvular atrial fibrillation_page_rank.csv,NCT00292552
Nonvalvular atrial fibrillation_page_rank.csv,NCT03737838
Nonvalvular atrial fibrillation_page_rank.csv,NCT01266694
Nonvalvular atrial fibrillation_page_rank.csv,NCT01247545
out of hospital cardiac arrest_page_rank.csv,NCT01009606
out of hospital cardiac arrest_page_rank.csv,NCT01969149
out of hospital cardiac arrest_page_rank.csv,NCT02419573
out of hospital cardiac arrest_page_rank.csv,NCT00449969
out of hospital cardiac arrest_page_rank.csv,NCT00491036
out of hospital cardiac arrest_page_rank.csv,NCT02408939
out of hospital cardiac arrest_page_rank.csv,NCT01514656
out of hospital cardiac arrest_page_rank.csv,NCT02785224
out of hospital cardiac arrest_page_rank.csv,NCT01839084
out of hospital cardiac arrest_page_rank.csv,NCT03176186
out of hospital cardiac arrest_page_rank.csv,NCT00379522
out of hospital cardiac arrest_page_rank.csv,NCT00394706
out of hospital cardiac arrest_page_rank.csv,NCT01505231
out of hospital cardiac arrest_page_rank.csv,NCT01689077
Outcomes of cerebrovascular accident_page_rank.csv,NCT00535197
Outcomes of cerebrovascular accident_page_rank.csv,NCT02586415
Outcomes of cerebrovascular accident_page_rank.csv,NCT00868283
Outcomes of cerebrovascular accident_page_rank.csv,NCT01019733
Outcomes of cerebrovascular accident_page_rank.csv,NCT02106351
Outcomes of cerebrovascular accident_page_rank.csv,NCT04088578
Outcomes of cerebrovascular accident_page_rank.csv,NCT02334969
Outcomes of cerebrovascular accident_page_rank.csv,NCT03678363
Outcomes of cerebrovascular accident_page_rank.csv,NCT02735148
Outcomes of cerebrovascular accident_page_rank.csv,NCT00738179
Outcomes of cerebrovascular accident_page_rank.csv,NCT03228264
Outcomes of cerebrovascular accident_page_rank.csv,NCT04047134
Outcomes of cerebrovascular accident_page_rank.csv,NCT04048291
Outcomes of cerebrovascular accident_page_rank.csv,NCT00170703
Outcomes of cerebrovascular accident_page_rank.csv,NCT01709045
Outcomes of cerebrovascular accident_page_rank.csv,NCT02909920
Outcomes of cerebrovascular accident_page_rank.csv,NCT02136433
Outcomes of cerebrovascular accident_page_rank.csv,NCT01467206
Outcomes of cerebrovascular accident_page_rank.csv,NCT02554487
Outcomes of cerebrovascular accident_page_rank.csv,NCT02729649
Outcomes of cerebrovascular accident_page_rank.csv,NCT00005277
Outcomes of cerebrovascular accident_page_rank.csv,NCT00201968
Outcomes of cerebrovascular accident_page_rank.csv,NCT02149875
Outcomes of cerebrovascular accident_page_rank.csv,NCT00715052
Outcomes of cerebrovascular accident_page_rank.csv,NCT01812993
Outcomes of cerebrovascular accident_page_rank.csv,NCT02388061
Outcomes of cerebrovascular accident_page_rank.csv,NCT04000997
Outcomes of cerebrovascular accident_page_rank.csv,NCT00462449
Outcomes of cerebrovascular accident_page_rank.csv,NCT01657461
Outcomes of cerebrovascular accident_page_rank.csv,NCT03390192
Outcomes of cerebrovascular accident_page_rank.csv,NCT00761982
Outcomes of cerebrovascular accident_page_rank.csv,NCT00119717
Outcomes of cerebrovascular accident_page_rank.csv,NCT01994161
Outcomes of cerebrovascular accident_page_rank.csv,NCT02251665
Outcomes of cerebrovascular accident_page_rank.csv,NCT01023646
Outcomes of cerebrovascular accident_page_rank.csv,NCT00604630
Outcomes of cerebrovascular accident_page_rank.csv,NCT01677208
Outcomes of cerebrovascular accident_page_rank.csv,NCT02804412
Outcomes of cerebrovascular accident_page_rank.csv,NCT01984034
Outcomes of cerebrovascular accident_page_rank.csv,NCT01208025
Outcomes of cerebrovascular accident_page_rank.csv,NCT00235495
Outcomes of cerebrovascular accident_page_rank.csv,NCT03376269
Outcomes of cerebrovascular accident_page_rank.csv,NCT01827683
Outcomes of cerebrovascular accident_page_rank.csv,NCT02454803
Outcomes of cerebrovascular accident_page_rank.csv,NCT01282242
Outcomes of cerebrovascular accident_page_rank.csv,NCT01249404
Outcomes of cerebrovascular accident_page_rank.csv,NCT03011762
Outcomes of cerebrovascular accident_page_rank.csv,NCT02869009
Outcomes of cerebrovascular accident_page_rank.csv,NCT01081275
Outcomes of cerebrovascular accident_page_rank.csv,NCT01570231
Outcomes of cerebrovascular accident_page_rank.csv,NCT03931616
Outcomes of cerebrovascular accident_page_rank.csv,NCT00153101
Outcomes of cerebrovascular accident_page_rank.csv,NCT01396746
Outcomes of cerebrovascular accident_page_rank.csv,NCT01759797
Outcomes of cerebrovascular accident_page_rank.csv,NCT03027453
Outcomes of cerebrovascular accident_page_rank.csv,NCT01087918
Outcomes of cerebrovascular accident_page_rank.csv,NCT02516878
Outcomes of cerebrovascular accident_page_rank.csv,NCT00390962
Outcomes of cerebrovascular accident_page_rank.csv,NCT03448159
Outcomes of cerebrovascular accident_page_rank.csv,NCT00076492
Outcomes of cerebrovascular accident_page_rank.csv,NCT03048708
Outcomes of cerebrovascular accident_page_rank.csv,NCT02675972
Outcomes of cerebrovascular accident_page_rank.csv,NCT04189497
Outcomes of cerebrovascular accident_page_rank.csv,NCT00153036
Outcomes of cerebrovascular accident_page_rank.csv,NCT00171821
Outcomes of cerebrovascular accident_page_rank.csv,NCT01280123
Outcomes of cerebrovascular accident_page_rank.csv,NCT00741286
Outcomes of cerebrovascular accident_page_rank.csv,NCT03005457
Outcomes of cerebrovascular accident_page_rank.csv,NCT02942875
Outcomes of cerebrovascular accident_page_rank.csv,NCT00794885
Outcomes of cerebrovascular accident_page_rank.csv,NCT01261390
Outcomes of cerebrovascular accident_page_rank.csv,NCT01771640
Outcomes of cerebrovascular accident_page_rank.csv,NCT01706146
Outcomes of cerebrovascular accident_page_rank.csv,NCT00237692
Outcomes of cerebrovascular accident_page_rank.csv,NCT03137836
Outcomes of cerebrovascular accident_page_rank.csv,NCT02644161
Outcomes of cerebrovascular accident_page_rank.csv,NCT03468049
Outcomes of cerebrovascular accident_page_rank.csv,NCT02212119
Outcomes of cerebrovascular accident_page_rank.csv,NCT03986320
Outcomes of cerebrovascular accident_page_rank.csv,NCT00221117
Outcomes of cerebrovascular accident_page_rank.csv,NCT01251367
Outcomes of cerebrovascular accident_page_rank.csv,NCT01464788
Outcomes of cerebrovascular accident_page_rank.csv,NCT03395717
Outcomes of cerebrovascular accident_page_rank.csv,NCT01732822
Outcomes of cerebrovascular accident_page_rank.csv,NCT03458169
Outcomes of cerebrovascular accident_page_rank.csv,NCT01966250
Outcomes of cerebrovascular accident_page_rank.csv,NCT03453983
Outcomes of cerebrovascular accident_page_rank.csv,NCT02117089
Outcomes of cerebrovascular accident_page_rank.csv,NCT02465034
Outcomes of cerebrovascular accident_page_rank.csv,NCT02869386
Outcomes of cerebrovascular accident_page_rank.csv,NCT00874601
Outcomes of cerebrovascular accident_page_rank.csv,NCT01668407
Outcomes of cerebrovascular accident_page_rank.csv,NCT03193580
Outcomes of cerebrovascular accident_page_rank.csv,NCT02511249
Outcomes of cerebrovascular accident_page_rank.csv,NCT03389165
Outcomes of cerebrovascular accident_page_rank.csv,NCT01492725
Outcomes of cerebrovascular accident_page_rank.csv,NCT02606890
Outcomes of cerebrovascular accident_page_rank.csv,NCT02354040
Outcomes of cerebrovascular accident_page_rank.csv,NCT02878746
Outcomes of cerebrovascular accident_page_rank.csv,NCT01413321
Outcomes of cerebrovascular accident_page_rank.csv,NCT02465346
Outcomes of cerebrovascular accident_page_rank.csv,NCT01949948
Outcomes of cerebrovascular accident_page_rank.csv,NCT01126775
